personaje,texto,versos,n_versos
CLARÍN," (Aparte.)  
¡Vive Dios, que va de veras! 
¿Si es costumbre en este reino
prender uno cada día
y hacerle príncipe, y luego
volverle a la torre? Sí,
pues cada día lo veo; 
fuerza es hacer mi papel.","[' (Aparte.)  ', '¡Vive Dios, que va de veras! ', '¿Si es costumbre en este reino', 'prender uno cada día', 'y hacerle príncipe, y luego', 'volverle a la torre? Sí,', 'pues cada día lo veo; ', 'fuerza es hacer mi papel.']",8
SOLDADOS,Danos tus plantas.,['Danos tus plantas.'],1
CLARÍN,"No puedo,
porque las he menester
para mí, y fuera defeto
ser príncipe desplantado. ","['No puedo,', 'porque las he menester', 'para mí, y fuera defeto', 'ser príncipe desplantado. ']",4
[SOLDADO] 2.º,"Todos a tu padre mesmo
le dijimos que a ti solo
por príncipe conocemos,
no al de Moscovia.","['Todos a tu padre mesmo', 'le dijimos que a ti solo', 'por príncipe conocemos,', 'no al de Moscovia.']",4
CLARÍN,"¿A mi padre
le perdistis el respeto? 
Sois unos tales por cuales.","['¿A mi padre', 'le perdistis el respeto? ', 'Sois unos tales por cuales.']",3
[SOLDADO] 1.º,Fue lealtad de nuestros pechos.,['Fue lealtad de nuestros pechos.'],1
CLARÍN,"Si fue lealtad, yo os perdono.","['Si fue lealtad, yo os perdono.']",1
[SOLDADO] 2.º,"Sal a restaurar tu imperio.
¡Viva Segismundo!","['Sal a restaurar tu imperio.', '¡Viva Segismundo!']",2
TODOS,"¡Viva!
",['¡Viva!'],1
CLARÍN," (Aparte.)  
¿Segismundo dicen? Bueno.
Segismundos llaman todos
los príncipes contrahechos.","[' (Aparte.)  ', '¿Segismundo dicen? Bueno.', 'Segismundos llaman todos', 'los príncipes contrahechos.']",4
SEGISMUNDO,¿Quién no[m]bra aquí a Segismu[n]do?,['¿Quién no[m]bra aquí a Segismu[n]do?'],1
CLARÍN," (Aparte.)  
¡Mas que soy príncipe huero! ","[' (Aparte.)  ', '¡Mas que soy príncipe huero! ']",2
[SOLDADO] 2.º,¿Quién es Segismundo?,['¿Quién es Segismundo?'],1
SEGISMUNDO,Yo.,['Yo.'],1
[SOLDADO] 2.º,"Pues ¿cómo, atrevido y necio,
tú te hacías Segismundo?","['Pues ¿cómo, atrevido y necio,', 'tú te hacías Segismundo?']",2
CLARÍN,"¿Yo Segismundo? Eso niego.
Que vosotros fuistis quien 
me segismundasteis; luego
vuestra ha sido solamente
necedad y atrevimiento.","['¿Yo Segismundo? Eso niego.', 'Que vosotros fuistis quien ', 'me segismundasteis; luego', 'vuestra ha sido solamente', 'necedad y atrevimiento.']",5
[SOLDADO] 1.º,"Gran príncipe Segismundo
(que las señas que traemos 
tuyas son, aunque por fe
te aclamamos señor nuestro),
tu padre, el gran rey Basilio,
temeroso que los cielos
cumplan un hado, que dice 
que ha de verse a tus pies puesto,
vencido de ti, pretende
quitarte acción y derecho
y dársela a Astolfo, duque
de Moscovia. Para esto 
juntó su corte, y el vulgo,
penetrando ya y sabiendo
que tiene rey natural,
no quiere que un extranjero
venga a mandarle. Y así, 
haciendo noble desprecio
de la inclemencia del hado,
te ha buscado donde preso
vives, para que, valido
de tus armas y saliendo 
desta torre a restaurar

tu imperial corona y cetro,
se la quites a un tirano.
Sal, pues; que en ese desierto
ejército numeroso 
de bandidos y plebeyos
te aclama. La libertad
te espera; oye sus acentos.","['Gran príncipe Segismundo', '(que las señas que traemos ', 'tuyas son, aunque por fe', 'te aclamamos señor nuestro),', 'tu padre, el gran rey Basilio,', 'temeroso que los cielos', 'cumplan un hado, que dice ', 'que ha de verse a tus pies puesto,', 'vencido de ti, pretende', 'quitarte acción y derecho', 'y dársela a Astolfo, duque', 'de Moscovia. Para esto ', 'juntó su corte, y el vulgo,', 'penetrando ya y sabiendo', 'que tiene rey natural,', 'no quiere que un extranjero', 'venga a mandarle. Y así, ', 'haciendo noble desprecio', 'de la inclemencia del hado,', 'te ha buscado donde preso', 'vives, para que, valido', 'de tus armas y saliendo ', 'desta torre a restaurar', 'tu imperial corona y cetro,', 'se la quites a un tirano.', 'Sal, pues; que en ese desierto', 'ejército numeroso ', 'de bandidos y plebeyos', 'te aclama. La libertad', 'te espera; oye sus acentos.']",30
VOCES,"¡Viva Segismundo, viva!","['¡Viva Segismundo, viva!']",1
SEGISMUNDO," (Dentro.)  
¿Otra vez (¿qué es esto, cielos?) 
queréis que sueñe grandezas
que ha de deshacer el tiempo?
¿Otra vez queréis que vea
entre sombras y bosquejos
la majestad y la pompa 
desvanecida del viento?
¿Otra vez queréis que toque
el desengaño, o el riesgo
a que el humano poder
nace humilde y vive atento? 
Pues no ha de ser, no ha de ser.
Miradme otra vez sujeto
a mi fortuna. Y pues sé
que toda esta vida es sueño,
idos, sombras, que fingís 
hoy a mis sentidos muertos
cuerpo y voz, siendo verdad
que ni tenéis voz ni cuerpo;
que no quiero majestades
fingidas, pompas no quiero. 
Fantásticas ilusiones
que al soplo menos ligero
del aura han de deshacerse
bien como el florido almendro,

que por madrugar sus flores, 
sin aviso y sin consejo,
al primer soplo se apagan,
marchitando y desluciendo
de sus rosados capillos
belleza, luz y ornamento, 
ya os conozco, ya os conozco,
y sé que os pasa lo mesmo
con cualquiera que se duerme.
Para mí no hay fingimientos;
que, desengañado ya, 
sé bien que la vida es sueño.","[' (Dentro.)  ', '¿Otra vez (¿qué es esto, cielos?) ', 'queréis que sueñe grandezas', 'que ha de deshacer el tiempo?', '¿Otra vez queréis que vea', 'entre sombras y bosquejos', 'la majestad y la pompa ', 'desvanecida del viento?', '¿Otra vez queréis que toque', 'el desengaño, o el riesgo', 'a que el humano poder', 'nace humilde y vive atento? ', 'Pues no ha de ser, no ha de ser.', 'Miradme otra vez sujeto', 'a mi fortuna. Y pues sé', 'que toda esta vida es sueño,', 'idos, sombras, que fingís ', 'hoy a mis sentidos muertos', 'cuerpo y voz, siendo verdad', 'que ni tenéis voz ni cuerpo;', 'que no quiero majestades', 'fingidas, pompas no quiero. ', 'Fantásticas ilusiones', 'que al soplo menos ligero', 'del aura han de deshacerse', 'bien como el florido almendro,', 'que por madrugar sus flores, ', 'sin aviso y sin consejo,', 'al primer soplo se apagan,', 'marchitando y desluciendo', 'de sus rosados capillos', 'belleza, luz y ornamento, ', 'ya os conozco, ya os conozco,', 'y sé que os pasa lo mesmo', 'con cualquiera que se duerme.', 'Para mí no hay fingimientos;', 'que, desengañado ya, ', 'sé bien que la vida es sueño.']",38
[SOLDADO] 2.º,"Si piensas que te engañamos,
vuelve a ese monte soberbio
los ojos, para que veas
la gente que aguarda en ellos 
para obedecerte.","['Si piensas que te engañamos,', 'vuelve a ese monte soberbio', 'los ojos, para que veas', 'la gente que aguarda en ellos ', 'para obedecerte.']",5
SEGISMUNDO,"Ya
otra vez vi aquesto mesmo
tan clara y distintamente
como agora lo estoy viendo,
y fue sueño.","['Ya', 'otra vez vi aquesto mesmo', 'tan clara y distintamente', 'como agora lo estoy viendo,', 'y fue sueño.']",5
[SOLDADO] 1.º,"Cosas grandes

siempre, gran señor, trujeron
anuncios; y esto sería,
si lo soñaste primero.","['Cosas grandes', 'siempre, gran señor, trujeron', 'anuncios; y esto sería,', 'si lo soñaste primero.']",4
SEGISMUNDO,"Dices bien, anuncio fue;
y caso que fuese cierto, 
pues que la vida es tan corta,
soñemos, alma, soñemos
otra vez; pero ha de ser
con atención y consejo
de que hemos de despertar 
deste gusto al mejor tiempo;
que llevándolo sabido,

será el desengaño menos;
que es hacer burla del daño
adelantarle el consejo. 
Y con esta prevención
de que, cuando fuese cierto,
es todo el poder prestado
y ha de volverse a su dueño,
atrevámonos a todo. 
Vasallos, yo os agradezco
la lealtad; en mí lleváis
quien os libre, osado y diestro,
de extranjera esclavitud.
Tocad al arma, que presto 
veréis mi inmenso valor.
Contra mi padre pretendo
tomar armas y sacar
verdaderos a los cielos;
presto he de verle a mis plantas. 
  (Aparte.)  
Mas si antes desto despierto
¿no será bien no decirlo
supuesto que no he de hacerlo?","['Dices bien, anuncio fue;', 'y caso que fuese cierto, ', 'pues que la vida es tan corta,', 'soñemos, alma, soñemos', 'otra vez; pero ha de ser', 'con atención y consejo', 'de que hemos de despertar ', 'deste gusto al mejor tiempo;', 'que llevándolo sabido,', 'será el desengaño menos;', 'que es hacer burla del daño', 'adelantarle el consejo. ', 'Y con esta prevención', 'de que, cuando fuese cierto,', 'es todo el poder prestado', 'y ha de volverse a su dueño,', 'atrevámonos a todo. ', 'Vasallos, yo os agradezco', 'la lealtad; en mí lleváis', 'quien os libre, osado y diestro,', 'de extranjera esclavitud.', 'Tocad al arma, que presto ', 'veréis mi inmenso valor.', 'Contra mi padre pretendo', 'tomar armas y sacar', 'verdaderos a los cielos;', 'presto he de verle a mis plantas. ', '  (Aparte.)  ', 'Mas si antes desto despierto', '¿no será bien no decirlo', 'supuesto que no he de hacerlo?']",31
TODOS,"¡Viva Segismundo, viva!","['¡Viva Segismundo, viva!']",1
CLOTALDO,"¿Qué alboroto es éste, cielos? ","['¿Qué alboroto es éste, cielos? ']",1
SEGISMUNDO,Clotaldo.,['Clotaldo.'],1
CLOTALDO,"Señor...
  (Aparte.)  
En mí
su crueldad prueba.","['Señor...', '  (Aparte.)  ', 'En mí', 'su crueldad prueba.']",4
CLARÍN," (Aparte.)  
Yo apuesto
que le despeña del monte.
 (Vase.)  ","[' (Aparte.)  ', 'Yo apuesto', 'que le despeña del monte.', ' (Vase.)  ']",4
CLOTALDO,"A tus reales plantas llego,
ya sé que a morir.","['A tus reales plantas llego,', 'ya sé que a morir.']",2
SEGISMUNDO,"Levanta,

levanta, padre, del suelo,
que tú has de ser norte y guía
de quien fíe mis aciertos;
que ya sé que mi crianza
a tu mucha lealtad debo. 
Dame los brazos.","['Levanta,', 'levanta, padre, del suelo,', 'que tú has de ser norte y guía', 'de quien fíe mis aciertos;', 'que ya sé que mi crianza', 'a tu mucha lealtad debo. ', 'Dame los brazos.']",7
CLOTALDO,¿Qué dices?,['¿Qué dices?'],1
SEGISMUNDO,"Que estoy soña[n]do, y que quiero
obrar bien, pues no se pierde
obrar bien, aun entre sueños.","['Que estoy soña[n]do, y que quiero', 'obrar bien, pues no se pierde', 'obrar bien, aun entre sueños.']",3
CLOTALDO,"Pues, señor, si el obrar bien 
es ya tu blasón, es cierto
que no te ofenda el que yo
hoy solicite lo mesmo.
A tu padre has de hacer guerra.
Yo aconsejarte no puedo 
contra mi Rey, ni valerte.
A tus plantas estoy puesto;
dame la muerte.","['Pues, señor, si el obrar bien ', 'es ya tu blasón, es cierto', 'que no te ofenda el que yo', 'hoy solicite lo mesmo.', 'A tu padre has de hacer guerra.', 'Yo aconsejarte no puedo ', 'contra mi Rey, ni valerte.', 'A tus plantas estoy puesto;', 'dame la muerte.']",9
SEGISMUNDO,"¡Villano,
traidor, ingrato!
 (Aparte.)  
Mas ¡cielos!
reportarme me conviene, 
que aún no sé si estoy despierto.
Clotaldo, vuestro valor
os envidio y agradezco.
Idos a servir al Rey,
que en el campo nos veremos. 
Vosotros, tocad el arma.","['¡Villano,', 'traidor, ingrato!', ' (Aparte.)  ', 'Mas ¡cielos!', 'reportarme me conviene, ', 'que aún no sé si estoy despierto.', 'Clotaldo, vuestro valor', 'os envidio y agradezco.', 'Idos a servir al Rey,', 'que en el campo nos veremos. ', 'Vosotros, tocad el arma.']",11
CLOTALDO,"Mil veces tus plantas beso.
 (Vase.)  ","['Mil veces tus plantas beso.', ' (Vase.)  ']",2
SEGISMUNDO,"A reinar, fortuna, vamos;
no me despiertes, si duermo,
y si es verdad, no me duermas. 
Mas, sea verdad o sueño,
obrar bien es lo que importa.

Si fuere verdad, por serlo;
si no, por ganar amigos
para cuando despertemos. ","['A reinar, fortuna, vamos;', 'no me despiertes, si duermo,', 'y si es verdad, no me duermas. ', 'Mas, sea verdad o sueño,', 'obrar bien es lo que importa.', 'Si fuere verdad, por serlo;', 'si no, por ganar amigos', 'para cuando despertemos. ']",8
BASILIO,"    ¿Quién, Astolfo, podrá parar prudente
la furia de un caballo desbocado?
¿Quién detener de un río la corriente
que corre al mar, soberbio y despeñado?
¿Quién un peñasco suspender, valiente, 
de la cima de un monte, desgajado?
Pues todo fácil de parar ha sido,
y un vulgo no, soberbio y atrevido.
    Dígalo en bandos el rumor partido,
pues se oye resonar en lo profundo 
de los montes el eco repetido,
unos «Astolfo» y otros «Segismundo».
El dosel de la jura, reducido
a segunda intención, a horror segundo,
teatro funesto es, donde importuna 
representa tragedias la fortuna.","['    ¿Quién, Astolfo, podrá parar prudente', 'la furia de un caballo desbocado?', '¿Quién detener de un río la corriente', 'que corre al mar, soberbio y despeñado?', '¿Quién un peñasco suspender, valiente, ', 'de la cima de un monte, desgajado?', 'Pues todo fácil de parar ha sido,', 'y un vulgo no, soberbio y atrevido.', '    Dígalo en bandos el rumor partido,', 'pues se oye resonar en lo profundo ', 'de los montes el eco repetido,', 'unos «Astolfo» y otros «Segismundo».', 'El dosel de la jura, reducido', 'a segunda intención, a horror segundo,', 'teatro funesto es, donde importuna ', 'representa tragedias la fortuna.']",16
ASTOLFO,"    Suspéndase, señor, el alegría,
cese el aplauso y gusto lisonjero

que tu mano feliz me prometía;
que si Polonia (a quien mandar espero) 
hoy se resiste a la obediencia mía,
es porque la merezca yo primero.
Dadme un caballo, y de arrogancia lleno
rayo descienda el que blasona trueno.
 (Vase.) ","['    Suspéndase, señor, el alegría,', 'cese el aplauso y gusto lisonjero', 'que tu mano feliz me prometía;', 'que si Polonia (a quien mandar espero) ', 'hoy se resiste a la obediencia mía,', 'es porque la merezca yo primero.', 'Dadme un caballo, y de arrogancia lleno', 'rayo descienda el que blasona trueno.', ' (Vase.) ']",9
BASILIO,"    Poco reparo tiene lo infalible, 
y mucho riesgo lo previsto tiene;
si ha de ser, la defensa es imposible,
que quien la excusa más, más la previene.
¡Dura ley! ¡Fuerte caso! ¡Horror terrible!
Quien piensa que huye el riesgo, al riesgo viene, 
con lo que yo guardaba me he perdido;
yo mismo, yo mi patria he destrüido.","['    Poco reparo tiene lo infalible, ', 'y mucho riesgo lo previsto tiene;', 'si ha de ser, la defensa es imposible,', 'que quien la excusa más, más la previene.', '¡Dura ley! ¡Fuerte caso! ¡Horror terrible!', 'Quien piensa que huye el riesgo, al riesgo viene, ', 'con lo que yo guardaba me he perdido;', 'yo mismo, yo mi patria he destrüido.']",8
ESTRELLA,"    Si tu presencia, gran señor, no trata
de enfrenar el tumulto sucedido,
que de uno en otro bando se dilata, 
por las calles y plazas dividido,
verás tu reino en ondas de escarlata
nadar, entre la púrpura teñido
de su sangre; que ya con triste modo,
todo es desdichas y tragedias todo. 
    Tanta es la ruina de tu imperio, tanta
la fuerza del rigor duro y sangriento,
que visto admira y escuchado espanta.
El sol se turba y se embaraza el viento;
cada piedra una pirámide levanta 
y cada flor construye un monumento;
cada edificio es un sepulcro altivo,
cada soldado un esqueleto vivo.","['    Si tu presencia, gran señor, no trata', 'de enfrenar el tumulto sucedido,', 'que de uno en otro bando se dilata, ', 'por las calles y plazas dividido,', 'verás tu reino en ondas de escarlata', 'nadar, entre la púrpura teñido', 'de su sangre; que ya con triste modo,', 'todo es desdichas y tragedias todo. ', '    Tanta es la ruina de tu imperio, tanta', 'la fuerza del rigor duro y sangriento,', 'que visto admira y escuchado espanta.', 'El sol se turba y se embaraza el viento;', 'cada piedra una pirámide levanta ', 'y cada flor construye un monumento;', 'cada edificio es un sepulcro altivo,', 'cada soldado un esqueleto vivo.']",16
CLOTALDO,    ¡Gracias a Dios que vivo a tus pies llego!,['    ¡Gracias a Dios que vivo a tus pies llego!'],1
BASILIO,"Clotaldo, pues ¿qué hay de Segismundo? ","['Clotaldo, pues ¿qué hay de Segismundo? ']",1
CLOTALDO,"Que el vulgo, monstruo despeñado y ciego,
la torre penetró, y de lo profundo
della sacó su príncipe, que luego
que vio segunda vez su honor segundo,
valiente se mostró, diciendo fiero 
que ha de sacar al cielo verdadero.","['Que el vulgo, monstruo despeñado y ciego,', 'la torre penetró, y de lo profundo', 'della sacó su príncipe, que luego', 'que vio segunda vez su honor segundo,', 'valiente se mostró, diciendo fiero ', 'que ha de sacar al cielo verdadero.']",6
BASILIO,"    Dadme un caballo, porque yo en persona
vencer valiente a un hijo ingrato quiero;
y en la defensa ya de mi corona,
lo que la ciencia erró venza el acero. 
 (Vase.) ","['    Dadme un caballo, porque yo en persona', 'vencer valiente a un hijo ingrato quiero;', 'y en la defensa ya de mi corona,', 'lo que la ciencia erró venza el acero. ', ' (Vase.) ']",5
ESTRELLA,"Pues yo al lado del sol seré Belona.
Poner mi nombre junto al tuyo espero;
que he de volar sobre tendidas alas
a competir con la deidad de Palas.","['Pues yo al lado del sol seré Belona.', 'Poner mi nombre junto al tuyo espero;', 'que he de volar sobre tendidas alas', 'a competir con la deidad de Palas.']",4
ROSAURA,"    Aunque el valor q[ue] se encierra 
en tu pecho desde allí
dé voces, óyeme a mí;
que yo sé que todo es guerra.
    Ya sabes que yo llegué
pobre, humilde y desdichada 
a Polonia, y amparada
de tu valor, en ti hallé
    piedad. Mandásteme ¡ay cielos!

que disfrazada viviese
en palacio, y pretendiese, 
disimulando mis celos,
    guardarme de Astolfo. En fin
él me vio, y tanto atropella
mi honor q[ue], viéndome, a Estrella
de noche habla en un jardín. 
    Déste la llave he tomado,
y te podrá dar lugar
de que en él puedas entrar
a dar fin a mi cuidado.
    Aquí altivo, osado y fuerte, 
volver por honor podrás,
pues que ya resuelto estás
a vengarme con su muerte.","['    Aunque el valor q[ue] se encierra ', 'en tu pecho desde allí', 'dé voces, óyeme a mí;', 'que yo sé que todo es guerra.', '    Ya sabes que yo llegué', 'pobre, humilde y desdichada ', 'a Polonia, y amparada', 'de tu valor, en ti hallé', '    piedad. Mandásteme ¡ay cielos!', 'que disfrazada viviese', 'en palacio, y pretendiese, ', 'disimulando mis celos,', '    guardarme de Astolfo. En fin', 'él me vio, y tanto atropella', 'mi honor q[ue], viéndome, a Estrella', 'de noche habla en un jardín. ', '    Déste la llave he tomado,', 'y te podrá dar lugar', 'de que en él puedas entrar', 'a dar fin a mi cuidado.', '    Aquí altivo, osado y fuerte, ', 'volver por honor podrás,', 'pues que ya resuelto estás', 'a vengarme con su muerte.']",24
CLOTALDO,"    Verdad es que me incliné,
desde el punto que te vi, 
a hacer, Rosaura, por ti
(testigo tu llanto fue)
    cuanto mi vida pudiese.
Lo primero que intenté
quitarte aquel traje fue, 
porque, si Astolfo te viese,
    te viese en tu propio traje,
sin juzgar a liviandad
la loca temeridad
que hace del honor ultraje. 
    En este tiempo trazaba
cómo cobrar se pudiese
tu honor perdido, aunque fuese
(tanto tu honor me arrestaba)
    dando muerte a Astolfo. ¡Mira 
qué caduco desvarío!
Si bien, no siendo rey mío,
ni me asombra ni me admira.
    Darle pensé muerte, cuando
Segismundo pretendió 
dármela a mí, y él llegó,

su peligro atropellando,
    a hacer en defensa mía
muestras de su voluntad
que fueron temeridad, 
pasando de valentía.
    Pues, ¿cómo yo agora (advierte),
teniendo alma agradecida,
a quien me ha dado la vida
le tengo que dar la muerte? 
    Y así, entre los dos partido
el efeto y el cuidado,
viendo que a ti te la he dado,
y que dél la he recibido,
    no sé a qué parte acudir, 
no sé qué parte ayudar;
si a ti me obligué con dar,
dél lo estoy con recibir.
    Y así, en la acción que se ofrece,
nada a mi amor satisface, 
porque soy persona que hace
y persona que padece.","['    Verdad es que me incliné,', 'desde el punto que te vi, ', 'a hacer, Rosaura, por ti', '(testigo tu llanto fue)', '    cuanto mi vida pudiese.', 'Lo primero que intenté', 'quitarte aquel traje fue, ', 'porque, si Astolfo te viese,', '    te viese en tu propio traje,', 'sin juzgar a liviandad', 'la loca temeridad', 'que hace del honor ultraje. ', '    En este tiempo trazaba', 'cómo cobrar se pudiese', 'tu honor perdido, aunque fuese', '(tanto tu honor me arrestaba)', '    dando muerte a Astolfo. ¡Mira ', 'qué caduco desvarío!', 'Si bien, no siendo rey mío,', 'ni me asombra ni me admira.', '    Darle pensé muerte, cuando', 'Segismundo pretendió ', 'dármela a mí, y él llegó,', 'su peligro atropellando,', '    a hacer en defensa mía', 'muestras de su voluntad', 'que fueron temeridad, ', 'pasando de valentía.', '    Pues, ¿cómo yo agora (advierte),', 'teniendo alma agradecida,', 'a quien me ha dado la vida', 'le tengo que dar la muerte? ', '    Y así, entre los dos partido', 'el efeto y el cuidado,', 'viendo que a ti te la he dado,', 'y que dél la he recibido,', '    no sé a qué parte acudir, ', 'no sé qué parte ayudar;', 'si a ti me obligué con dar,', 'dél lo estoy con recibir.', '    Y así, en la acción que se ofrece,', 'nada a mi amor satisface, ', 'porque soy persona que hace', 'y persona que padece.']",44
ROSAURA,"    No tengo que prevenir
que en un varón singular,
cuanto es noble acción el dar 
es bajeza el recibir.
    Y este principio asentado,
no has de estarle agradecido,
supuesto que si él ha sido
el que la vida te ha dado, 
    y tú a mí, evidente cosa
es que él forzó tu nobleza
a que hiciese una bajeza,
y yo una acción generosa.
    Luego estás dél ofendido, 
luego estás de mí obligado,
supuesto que a mí me has dado
lo que dél has recibido;
    y así debes acudir

a mi honor en riesgo tanto, 
pues yo le prefiero cuanto
va de dar a recibir.","['    No tengo que prevenir', 'que en un varón singular,', 'cuanto es noble acción el dar ', 'es bajeza el recibir.', '    Y este principio asentado,', 'no has de estarle agradecido,', 'supuesto que si él ha sido', 'el que la vida te ha dado, ', '    y tú a mí, evidente cosa', 'es que él forzó tu nobleza', 'a que hiciese una bajeza,', 'y yo una acción generosa.', '    Luego estás dél ofendido, ', 'luego estás de mí obligado,', 'supuesto que a mí me has dado', 'lo que dél has recibido;', '    y así debes acudir', 'a mi honor en riesgo tanto, ', 'pues yo le prefiero cuanto', 'va de dar a recibir.']",20
CLOTALDO,"    Aunque la nobleza vive
de la parte del que da,
el agradecerla está 
de parte del que recibe;
    y pues ya dar he sabido,
ya tengo con nombre honroso
el nombre de generoso.
Déjame el de agradecido, 
    pues le puedo conseguir
siendo agradecido cuanto
liberal, pues honra tanto
el dar como el recibir.","['    Aunque la nobleza vive', 'de la parte del que da,', 'el agradecerla está ', 'de parte del que recibe;', '    y pues ya dar he sabido,', 'ya tengo con nombre honroso', 'el nombre de generoso.', 'Déjame el de agradecido, ', '    pues le puedo conseguir', 'siendo agradecido cuanto', 'liberal, pues honra tanto', 'el dar como el recibir.']",12
ROSAURA,"    De ti recibí la vida, 
y tú mismo me dijiste,
cuando la vida me diste,
que la que estaba ofendida
    no era vida. Luego yo
nada de ti he recibido; 
pues muerte, no vida, ha sido
la que tu mano me dio.
    Y si debes ser primero
liberal que agradecido
(como de ti mismo he oído), 
que me des la vida espero,
    que no me la has dado, y pues
el dar engrandece más,
sé antes liberal; serás
agradecido después. ","['    De ti recibí la vida, ', 'y tú mismo me dijiste,', 'cuando la vida me diste,', 'que la que estaba ofendida', '    no era vida. Luego yo', 'nada de ti he recibido; ', 'pues muerte, no vida, ha sido', 'la que tu mano me dio.', '    Y si debes ser primero', 'liberal que agradecido', '(como de ti mismo he oído), ', 'que me des la vida espero,', '    que no me la has dado, y pues', 'el dar engrandece más,', 'sé antes liberal; serás', 'agradecido después. ']",16
CLOTALDO,"    Vencido de tu argumento,
antes liberal seré.
Yo, Rosaura, te daré
mi hacienda, y en un convento
    vive; que está bien pensado 
el medio que solicito;
pues huyendo de un delito

te recoges a un sagrado;
    que cuando, tan dividido,
el reino desdichas siente, 
no he de ser quien las aumente,
habiendo noble nacido.
    Con el remedio elegido
soy con el reino leal,
soy contigo liberal, 
con Astolfo agradecido;
    y así escogerle te cuadre,
quedándose entre los dos,
que no hiciera ¡vive Dios!
más, cuando fuera tu padre. ","['    Vencido de tu argumento,', 'antes liberal seré.', 'Yo, Rosaura, te daré', 'mi hacienda, y en un convento', '    vive; que está bien pensado ', 'el medio que solicito;', 'pues huyendo de un delito', 'te recoges a un sagrado;', '    que cuando, tan dividido,', 'el reino desdichas siente, ', 'no he de ser quien las aumente,', 'habiendo noble nacido.', '    Con el remedio elegido', 'soy con el reino leal,', 'soy contigo liberal, ', 'con Astolfo agradecido;', '    y así escogerle te cuadre,', 'quedándose entre los dos,', 'que no hiciera ¡vive Dios!', 'más, cuando fuera tu padre. ']",20
ROSAURA,"    Cuando tú mi padre fueras,
sufriera esa injuria yo;
pero no siéndolo, no.","['    Cuando tú mi padre fueras,', 'sufriera esa injuria yo;', 'pero no siéndolo, no.']",3
