n_interven,personaje,texto,jornada,versos,n_versos
10,ROSAURA,Inmóvil bulto soy de fuego y yelo.,1,['Inmóvil bulto soy de fuego y yelo.'],1
11,CLARÍN,Cadenita hay que suena. ,1,['Cadenita hay que suena. '],1
12,,"Mátenme, si no es galeote en pena;
bien mi temor lo dice.",1,"['Mátenme, si no es galeote en pena;', 'bien mi temor lo dice.']",2
13,SEGISMUNDO,¡Ay mísero de mí! ¡Y ay infelice!,1,['¡Ay mísero de mí! ¡Y ay infelice!'],1
14,ROSAURA,"¡Qué triste voz escucho!
Con nuevas penas y tormentos lucho. ",1,"['¡Qué triste voz escucho!', 'Con nuevas penas y tormentos lucho. ']",2
15,CLARÍN,Yo con nuevos temores.,1,['Yo con nuevos temores.'],1
16,ROSAURA,Clarín...,1,['Clarín...'],1
17,CLARÍN,Señora...,1,['Señora...'],1
18,ROSAURA,"Huigamos los rigores
desta encantada torre.",1,"['Huigamos los rigores', 'desta encantada torre.']",2
19,CLARÍN,"Yo aún no tengo
ánimo de huir, cuando a eso vengo.",1,"['Yo aún no tengo', 'ánimo de huir, cuando a eso vengo.']",2
20,ROSAURA,"¿No es breve luz aquella 

caduca exhalación, pálida estrella,
que en trémulos desmayos,
pulsando ardores y latiendo rayos,
hace más tenebrosa
la obscura habitación con luz dudosa? 
Sí, pues a sus reflejos
puedo determinar (aunque de lejos)
una prisión obscura
que es de un vivo cadáver sepultura;
y porque más me asombre, 
en el traje de fiera yace un hombre
de prisiones cargado,
y sólo de la luz acompañado.
Pues hüir no podemos,
desde aquí sus desdichas escuchemos; 
sepamos lo que dice.",1,"['¿No es breve luz aquella ', 'caduca exhalación, pálida estrella,', 'que en trémulos desmayos,', 'pulsando ardores y latiendo rayos,', 'hace más tenebrosa', 'la obscura habitación con luz dudosa? ', 'Sí, pues a sus reflejos', 'puedo determinar (aunque de lejos)', 'una prisión obscura', 'que es de un vivo cadáver sepultura;', 'y porque más me asombre, ', 'en el traje de fiera yace un hombre', 'de prisiones cargado,', 'y sólo de la luz acompañado.', 'Pues hüir no podemos,', 'desde aquí sus desdichas escuchemos; ', 'sepamos lo que dice.']",17
21,SEGISMUNDO,"¡Ay mísero de mí! ¡Y ay infelice!
    Apurar, cielos, pretendo
ya que me tratáis así,
qué delito cometí 
contra vosotros naciendo;
aunque si nací, ya entiendo
qué delito he cometido.
Bastante causa ha tenido
vuestra justicia y rigor; 
pues el delito mayor
del hombre es haber nacido.

    Sólo quisiera saber,
para apurar mis desvelos
(dejando a una parte, cielos, 
el delito de nacer),
qué más os pude ofender,
para castigarme más.
¿No nacieron los demás?
Pues si los demás nacieron, 
¿qué privilegios tuvieron
que yo no gocé jamás?
    Nace el ave, y con las galas
que le dan belleza suma,
apenas es flor de pluma, 
o ramillete con alas
cuando las etéreas salas
corta con velocidad,
negándose a la piedad
del nido que deja en calma: 
¿y teniendo yo más alma,
tengo menos libertad?
    Nace el bruto, y con la piel
que dibujan manchas bellas,
apenas signo es de estrellas, 
gracias al docto pincel,
cuando, atrevido y crüel,
la humana necesidad
le enseña a tener crueldad,

monstruo de su laberinto: 
¿y yo con mejor distinto
tengo menos libertad?
    Nace el pez, que no respira,
aborto de ovas y lamas,
y apenas bajel de escamas 
sobre las ondas se mira,
cuando a todas partes gira,
midiendo la inmensidad
de tanta capacidad
como le da el centro frío: 
¿y yo con más albedrío
tengo menos libertad?
    Nace el arroyo, culebra
que entre flores se desata,
y apenas, sierpe de plata, 
entre las flores se quiebra,
cuando músico celebra
de las flores la piedad
que le dan la majestad,

el campo abierto a su ida: 
¿y teniendo yo más vida
tengo menos libertad?
    En llegando a esta pasión
un volcán, un Etna hecho,
quisiera sacar del pecho 
pedazos del corazón.
¿Qué ley, justicia o razón
negar a los hombres sabe
privilegio tan süave,
excepción tan principal, 
que Dios le ha dado a un cristal,
a un pez, a un bruto y a un ave?",1,"['¡Ay mísero de mí! ¡Y ay infelice!', '    Apurar, cielos, pretendo', 'ya que me tratáis así,', 'qué delito cometí ', 'contra vosotros naciendo;', 'aunque si nací, ya entiendo', 'qué delito he cometido.', 'Bastante causa ha tenido', 'vuestra justicia y rigor; ', 'pues el delito mayor', 'del hombre es haber nacido.', '    Sólo quisiera saber,', 'para apurar mis desvelos', '(dejando a una parte, cielos, ', 'el delito de nacer),', 'qué más os pude ofender,', 'para castigarme más.', '¿No nacieron los demás?', 'Pues si los demás nacieron, ', '¿qué privilegios tuvieron', 'que yo no gocé jamás?', '    Nace el ave, y con las galas', 'que le dan belleza suma,', 'apenas es flor de pluma, ', 'o ramillete con alas', 'cuando las etéreas salas', 'corta con velocidad,', 'negándose a la piedad', 'del nido que deja en calma: ', '¿y teniendo yo más alma,', 'tengo menos libertad?', '    Nace el bruto, y con la piel', 'que dibujan manchas bellas,', 'apenas signo es de estrellas, ', 'gracias al docto pincel,', 'cuando, atrevido y crüel,', 'la humana necesidad', 'le enseña a tener crueldad,', 'monstruo de su laberinto: ', '¿y yo con mejor distinto', 'tengo menos libertad?', '    Nace el pez, que no respira,', 'aborto de ovas y lamas,', 'y apenas bajel de escamas ', 'sobre las ondas se mira,', 'cuando a todas partes gira,', 'midiendo la inmensidad', 'de tanta capacidad', 'como le da el centro frío: ', '¿y yo con más albedrío', 'tengo menos libertad?', '    Nace el arroyo, culebra', 'que entre flores se desata,', 'y apenas, sierpe de plata, ', 'entre las flores se quiebra,', 'cuando músico celebra', 'de las flores la piedad', 'que le dan la majestad,', 'el campo abierto a su ida: ', '¿y teniendo yo más vida', 'tengo menos libertad?', '    En llegando a esta pasión', 'un volcán, un Etna hecho,', 'quisiera sacar del pecho ', 'pedazos del corazón.', '¿Qué ley, justicia o razón', 'negar a los hombres sabe', 'privilegio tan süave,', 'excepción tan principal, ', 'que Dios le ha dado a un cristal,', 'a un pez, a un bruto y a un ave?']",71
22,ROSAURA,"    Temor y piedad en mí
sus razones han causado.",1,"['    Temor y piedad en mí', 'sus razones han causado.']",2
23,SEGISMUNDO,"¿Quié[n] mis voces ha escuchado? 
¿Es Clotaldo?",1,"['¿Quié[n] mis voces ha escuchado? ', '¿Es Clotaldo?']",2
24,CLARÍN," (Aparte.) 
Di que sí.",1,"[' (Aparte.) ', 'Di que sí.']",2
25,ROSAURA,"No es sino un triste, ¡ay de mí!
que en estas bóvedas frías
oyó tus melancolías.",1,"['No es sino un triste, ¡ay de mí!', 'que en estas bóvedas frías', 'oyó tus melancolías.']",3
26,SEGISMUNDO," (Ásela.)  
Pues la muerte te daré, 
porque no sepas que sé,
que sabes flaquezas mías.
    Sólo porque me has oído,
entre mis membrudos brazos
te tengo de hacer pedazos. ",1,"[' (Ásela.)  ', 'Pues la muerte te daré, ', 'porque no sepas que sé,', 'que sabes flaquezas mías.', '    Sólo porque me has oído,', 'entre mis membrudos brazos', 'te tengo de hacer pedazos. ']",7
27,CLARÍN,"Yo soy sordo, y no he podido
escucharte.",1,"['Yo soy sordo, y no he podido', 'escucharte.']",2
28,ROSAURA,"Si has nacido
humano, baste el postrarme
a tus pies para librarme.",1,"['Si has nacido', 'humano, baste el postrarme', 'a tus pies para librarme.']",3
29,SEGISMUNDO,"Tu voz pudo enternecerme, 
tu presencia suspenderme,
y tu respeto turbarme.
    ¿Quién eres? Que aunque yo aquí
tan poco del mundo sé,
que cuna y sepulcro fue 
esta torre para mí;
y aunque desde que nací
(si esto es nacer) sólo advierto
este rústico desierto,
donde miserable vivo, 
siendo un esqueleto vivo,
siendo un animado muerto;
    y aunque nunca vi ni hablé
sino a un hombre solamente
que aquí mis desdichas siente, 
por quien las noticias sé
de cielo y tierra; y aunque aquí,
porque más te asombres
y monstruo humano me nombres,
entre asombros y quimeras, 
soy un hombre de las fieras,
y una fiera de los hombres;
    y aunque en desdichas ta[n] graves
la política he estudiado,
de los brutos enseñado, 
advertido de las aves,
y de los astros süaves
los círculos he medido,
tú sólo, tú, has suspendido
la pasión a mis enojos, 
la suspensión a mis ojos,
la admiración al oído.

    Con cada vez que te veo
nueva admiración me das,
y cuando te miro más 
aun más mirarte deseo.
Ojos hidrópicos creo
que mis ojos deben ser;
pues cuando es muerte el beber,
beben más, y desta suerte, 
viendo que el ver me da muerte,
estoy muriendo por ver.
    Pero véate yo y muera;
que no sé, rendido ya,
si el verte muerte me da, 
el no verte qué me diera.
Fuera, más que muerte fiera,
ira, rabia y dolor fuerte;
fuera muerte; desta suerte
su rigor he ponderado, 
pues dar vida a un desdichado
es dar a un dichoso muerte.",1,"['Tu voz pudo enternecerme, ', 'tu presencia suspenderme,', 'y tu respeto turbarme.', '    ¿Quién eres? Que aunque yo aquí', 'tan poco del mundo sé,', 'que cuna y sepulcro fue ', 'esta torre para mí;', 'y aunque desde que nací', '(si esto es nacer) sólo advierto', 'este rústico desierto,', 'donde miserable vivo, ', 'siendo un esqueleto vivo,', 'siendo un animado muerto;', '    y aunque nunca vi ni hablé', 'sino a un hombre solamente', 'que aquí mis desdichas siente, ', 'por quien las noticias sé', 'de cielo y tierra; y aunque aquí,', 'porque más te asombres', 'y monstruo humano me nombres,', 'entre asombros y quimeras, ', 'soy un hombre de las fieras,', 'y una fiera de los hombres;', '    y aunque en desdichas ta[n] graves', 'la política he estudiado,', 'de los brutos enseñado, ', 'advertido de las aves,', 'y de los astros süaves', 'los círculos he medido,', 'tú sólo, tú, has suspendido', 'la pasión a mis enojos, ', 'la suspensión a mis ojos,', 'la admiración al oído.', '    Con cada vez que te veo', 'nueva admiración me das,', 'y cuando te miro más ', 'aun más mirarte deseo.', 'Ojos hidrópicos creo', 'que mis ojos deben ser;', 'pues cuando es muerte el beber,', 'beben más, y desta suerte, ', 'viendo que el ver me da muerte,', 'estoy muriendo por ver.', '    Pero véate yo y muera;', 'que no sé, rendido ya,', 'si el verte muerte me da, ', 'el no verte qué me diera.', 'Fuera, más que muerte fiera,', 'ira, rabia y dolor fuerte;', 'fuera muerte; desta suerte', 'su rigor he ponderado, ', 'pues dar vida a un desdichado', 'es dar a un dichoso muerte.']",53
30,ROSAURA,"    Con asombro de mirarte,
con admiración de oírte,
ni sé qué pueda decirte, 
ni qué pueda preguntarte.
Sólo diré que a esta parte
hoy el cielo me ha guiado
para haberme consolado,
si consuelo puede ser, 
del que es desdichado, ver
a otro que es más desdichado.
    Cuentan de un sabio, que un día
tan pobre y mísero estaba,
que sólo se sustentaba 
de unas yerbas que comía.
¿Habrá otro -entre sí decía-
más pobre y triste que yo?
Y cuando el rostro volvió
halló la respuesta, viendo 
que iba otro sabio cogiendo
las hojas que él arrojó.
    Quejoso de la fortuna
yo en este mundo vivía,
y cuando entre mí decía: 
¿Habrá otra persona alguna
de suerte más importuna?,
piadoso me has respondido;
pues volviendo en mi sentido,
hallo que las penas mías, 
para hacerlas tú alegrías,
las hubieras recogido.
    Y por si acaso mis penas
pueden aliviarte en parte,

óyelas atento, y toma 
las que dellas me sobraren.
Yo soy...",1,"['    Con asombro de mirarte,', 'con admiración de oírte,', 'ni sé qué pueda decirte, ', 'ni qué pueda preguntarte.', 'Sólo diré que a esta parte', 'hoy el cielo me ha guiado', 'para haberme consolado,', 'si consuelo puede ser, ', 'del que es desdichado, ver', 'a otro que es más desdichado.', '    Cuentan de un sabio, que un día', 'tan pobre y mísero estaba,', 'que sólo se sustentaba ', 'de unas yerbas que comía.', '¿Habrá otro -entre sí decía-', 'más pobre y triste que yo?', 'Y cuando el rostro volvió', 'halló la respuesta, viendo ', 'que iba otro sabio cogiendo', 'las hojas que él arrojó.', '    Quejoso de la fortuna', 'yo en este mundo vivía,', 'y cuando entre mí decía: ', '¿Habrá otra persona alguna', 'de suerte más importuna?,', 'piadoso me has respondido;', 'pues volviendo en mi sentido,', 'hallo que las penas mías, ', 'para hacerlas tú alegrías,', 'las hubieras recogido.', '    Y por si acaso mis penas', 'pueden aliviarte en parte,', 'óyelas atento, y toma ', 'las que dellas me sobraren.', 'Yo soy...']",35
31,CLOTALDO," (Dentro CLOTALDO.)  
Guardas desta torre,
que, dormidas o cobardes,
disteis paso a dos personas
que han quebrantado la cárcel... ",1,"[' (Dentro CLOTALDO.)  ', 'Guardas desta torre,', 'que, dormidas o cobardes,', 'disteis paso a dos personas', 'que han quebrantado la cárcel... ']",5
32,ROSAURA,Nueva confusión padezco.,1,['Nueva confusión padezco.'],1
33,SEGISMUNDO,"Este es Clotaldo, mi alcaide.
Aún no acaban mis desdichas.",1,"['Este es Clotaldo, mi alcaide.', 'Aún no acaban mis desdichas.']",2
34,CLOTALDO," (Dentro.)  
    ... acudid, y vigilantes,
sin que puedan defenderse, 
o prendeldes o mataldes.",1,"[' (Dentro.)  ', '    ... acudid, y vigilantes,', 'sin que puedan defenderse, ', 'o prendeldes o mataldes.']",4
35,TODOS," (Dentro.)  
¡Traición!",1,"[' (Dentro.)  ', '¡Traición!']",2
36,CLARÍN,"Guardas desta torre,
que entrar aquí nos dejasteis,
pues que nos dais a escoger,
el prendernos es más fácil. ",1,"['Guardas desta torre,', 'que entrar aquí nos dejasteis,', 'pues que nos dais a escoger,', 'el prendernos es más fácil. ']",4
37,CLOTALDO,"Todos os cubrid los rostros;
que es diligencia importante
mientras estamos aquí
que no nos conozca naide.",1,"['Todos os cubrid los rostros;', 'que es diligencia importante', 'mientras estamos aquí', 'que no nos conozca naide.']",4
38,CLARÍN,¿Enmascaraditos hay? ,1,['¿Enmascaraditos hay? '],1
39,CLOTALDO,"¡Oh vosotros, que ignorantes
de aqueste vedado sitio
coto y término pasasteis
contra el decreto del Rey,
que manda que no ose nadie 
examinar el prodigio
que entre estos peñascos yace!
¡Rendid las armas y vidas,
o aquesta pistola, áspid
de metal, escupirá 
el veneno penetrante
de dos balas, cuyo fuego
será escándalo del aire!",1,"['¡Oh vosotros, que ignorantes', 'de aqueste vedado sitio', 'coto y término pasasteis', 'contra el decreto del Rey,', 'que manda que no ose nadie ', 'examinar el prodigio', 'que entre estos peñascos yace!', '¡Rendid las armas y vidas,', 'o aquesta pistola, áspid', 'de metal, escupirá ', 'el veneno penetrante', 'de dos balas, cuyo fuego', 'será escándalo del aire!']",13
40,SEGISMUNDO,"Primero, tirano dueño,
que los ofendas y agravies, 
será mi vida despojo
destos lazos miserables;
pues en ellos, vive Dios,
tengo de despedazarme
con las manos, con los dientes, 
entre aquestas peñas, antes
que su desdicha consienta
y que llore sus ultrajes.",1,"['Primero, tirano dueño,', 'que los ofendas y agravies, ', 'será mi vida despojo', 'destos lazos miserables;', 'pues en ellos, vive Dios,', 'tengo de despedazarme', 'con las manos, con los dientes, ', 'entre aquestas peñas, antes', 'que su desdicha consienta', 'y que llore sus ultrajes.']",10
41,CLOTALDO,"Si sabes que tus desdichas,
Segismundo, son tan grandes, 
que antes de nacer moriste
por ley del cielo; si sabes
que aquestas prisiones son
de tus furias arrogantes
un freno que las detenga 
y una rienda que las pare,
¿por qué blasonas? La puerta
cerrad desa estrecha cárcel;
escondelde en ella.",1,"['Si sabes que tus desdichas,', 'Segismundo, son tan grandes, ', 'que antes de nacer moriste', 'por ley del cielo; si sabes', 'que aquestas prisiones son', 'de tus furias arrogantes', 'un freno que las detenga ', 'y una rienda que las pare,', '¿por qué blasonas? La puerta', 'cerrad desa estrecha cárcel;', 'escondelde en ella.']",11
42,SEGISMUNDO,"¡Ah cielos,
qué bien hacéis en quitarme 

la libertad! Porque fuera
contra vosotros gigante,
que, para quebrar al sol
esos vidrios y cristales,
sobre cimientos de piedra 
pusiera montes de jaspe.",1,"['¡Ah cielos,', 'qué bien hacéis en quitarme ', 'la libertad! Porque fuera', 'contra vosotros gigante,', 'que, para quebrar al sol', 'esos vidrios y cristales,', 'sobre cimientos de piedra ', 'pusiera montes de jaspe.']",8
43,CLOTALDO,"Quizá porque no los pongas,
hoy padeces tantos males.",1,"['Quizá porque no los pongas,', 'hoy padeces tantos males.']",2
44,ROSAURA,"Ya que vi que la soberbia
te ofendió tanto, ignorante 
fuera en no pedirte humilde
vida que a tus plantas yace.
Muévate en mí la piedad;
que será rigor notable
que no hallen favor en ti 
ni soberbias ni humildades.",1,"['Ya que vi que la soberbia', 'te ofendió tanto, ignorante ', 'fuera en no pedirte humilde', 'vida que a tus plantas yace.', 'Muévate en mí la piedad;', 'que será rigor notable', 'que no hallen favor en ti ', 'ni soberbias ni humildades.']",8
45,CLARÍN,"Y si Humildad y Soberbia
no te obligan, personajes
que han movido y removido
mil autos sacramentales, 
yo, ni humilde ni soberbio,
sino entre las dos mitades

entreverado, te pido
que nos remedies y ampares.",1,"['Y si Humildad y Soberbia', 'no te obligan, personajes', 'que han movido y removido', 'mil autos sacramentales, ', 'yo, ni humilde ni soberbio,', 'sino entre las dos mitades', 'entreverado, te pido', 'que nos remedies y ampares.']",8
46,CLOTALDO,¡Hola!,1,['¡Hola!'],1
47,SOLDADOS,Señor...,1,['Señor...'],1
48,CLOTALDO,"A los dos

quitad las armas, y ataldes
los ojos, porque no vean
cómo ni de dónde salen.",1,"['A los dos', 'quitad las armas, y ataldes', 'los ojos, porque no vean', 'cómo ni de dónde salen.']",4
49,ROSAURA,"Mi espada es ésta, que a ti
solamente ha de entregarse, 
porque, al fin, de todos eres
el principal, y no sabe
rendirse a menos valor.",1,"['Mi espada es ésta, que a ti', 'solamente ha de entregarse, ', 'porque, al fin, de todos eres', 'el principal, y no sabe', 'rendirse a menos valor.']",5
50,CLARÍN,"La mía es tal, que puede darse
al más ruin; tomadla vos. ",1,"['La mía es tal, que puede darse', 'al más ruin; tomadla vos. ']",2
51,ROSAURA,"Y si he de morir, dejarte
quiero, en la fe desta piedad,
prenda que pudo estimarse
por el dueño que algún día
se la ciñó. Que la guardes 
te encargo, porque aunque yo
no sé qué secreto alcance,
sé que esta dorada espada
encierra misterios grandes;
pues sólo fiado en ella 
vengo a Polonia a vengarme
de un agravio.",1,"['Y si he de morir, dejarte', 'quiero, en la fe desta piedad,', 'prenda que pudo estimarse', 'por el dueño que algún día', 'se la ciñó. Que la guardes ', 'te encargo, porque aunque yo', 'no sé qué secreto alcance,', 'sé que esta dorada espada', 'encierra misterios grandes;', 'pues sólo fiado en ella ', 'vengo a Polonia a vengarme', 'de un agravio.']",12
52,CLOTALDO," (Aparte. 
¡Santos cielos!
¿Qué es esto? Ya son más graves
mis penas y confusiones,
mis ansias y mis pesares.) 
¿Quién te la dio?",1,"[' (Aparte. ', '¡Santos cielos!', '¿Qué es esto? Ya son más graves', 'mis penas y confusiones,', 'mis ansias y mis pesares.) ', '¿Quién te la dio?']",6
53,ROSAURA,Una mujer.,1,['Una mujer.'],1
54,CLOTALDO,¿Cómo se llama?,1,['¿Cómo se llama?'],1
55,ROSAURA,"Que calle
su nombre es fuerza.",1,"['Que calle', 'su nombre es fuerza.']",2
56,CLOTALDO,"¿De qué
infieres agora, o sabes,
que hay secreto en esta espada? ",1,"['¿De qué', 'infieres agora, o sabes,', 'que hay secreto en esta espada? ']",3
57,ROSAURA,"Quien me la dio, dijo: «Parte
a Polonia, y solicita
con ingenio, estudio o arte,
que te vean esa espada
los nobles y principales; 
que yo sé que alguno dellos
te favorezca y ampare»;
que por si acaso era muerto
no quiso entonces nombrarle.",1,"['Quien me la dio, dijo: «Parte', 'a Polonia, y solicita', 'con ingenio, estudio o arte,', 'que te vean esa espada', 'los nobles y principales; ', 'que yo sé que alguno dellos', 'te favorezca y ampare»;', 'que por si acaso era muerto', 'no quiso entonces nombrarle.']",9
